tenure_months,monthly_charges,support_calls,plan,region,churn
20.0,71.77,1.0,premium,south,0
54.0,36.89,3.0,basic,north,0
21.0,75.43,3.0,plus,south,1
34.0,58.88,0.0,basic,south,1
64.0,74.44,0.0,basic,north,0
1.0,,0.0,basic,south,1
10.0,90.34,0.0,plus,south,0
44.0,102.6,3.0,premium,south,1
45.0,,1.0,premium,south,0
58.0,,3.0,basic,coast,0
63.0,41.83,1.0,plus,north,1
1.0,67.12,1.0,basic,coast,1
18.0,42.07,2.0,basic,north,1
1.0,57.87,1.0,basic,coast,1
20.0,60.57,1.0,basic,north,1
16.0,89.04,2.0,basic,north,1
32.0,73.06,2.0,basic,north,0
33.0,114.81,1.0,basic,coast,1
4.0,20.29,0.0,plus,south,0
4.0,58.89,0.0,basic,north,0
7.0,63.75,3.0,basic,north,1
16.0,70.17,2.0,basic,south,1
63.0,62.07,2.0,basic,south,0
27.0,,2.0,plus,south,0
32.0,69.26,1.0,premium,coast,1
63.0,77.75,0.0,plus,north,0
60.0,83.81,2.0,basic,coast,0
39.0,51.94,1.0,plus,coast,0
68.0,59.4,2.0,basic,north,0
33.0,,0.0,basic,north,0
70.0,87.3,0.0,basic,north,1
14.0,54.28,2.0,basic,north,1
39.0,113.11,1.0,basic,coast,1
28.0,73.03,1.0,basic,south,1
54.0,86.01,0.0,basic,south,0
54.0,38.3,1.0,plus,south,0
18.0,54.56,2.0,basic,south,1
14.0,75.74,0.0,basic,north,0
64.0,70.7,2.0,basic,south,0
69.0,38.22,1.0,plus,north,0
27.0,118.62,1.0,basic,south,1
10.0,53.02,1.0,basic,south,1
47.0,109.09,1.0,basic,south,0
3.0,77.23,0.0,plus,coast,0
8.0,64.75,2.0,premium,north,1
65.0,85.03,1.0,basic,south,0
11.0,49.09,0.0,plus,coast,0
38.0,113.27,2.0,plus,coast,0
19.0,119.53,0.0,plus,coast,0
63.0,60.81,0.0,premium,north,0
71.0,48.37,2.0,basic,coast,0
69.0,109.66,1.0,plus,south,0
46.0,99.71,0.0,basic,north,0
30.0,78.92,1.0,basic,north,0
50.0,119.71,1.0,basic,north,1
66.0,57.89,2.0,premium,north,0
28.0,71.59,0.0,plus,coast,0
65.0,80.0,4.0,plus,coast,0
61.0,52.17,3.0,plus,south,0
7.0,53.25,1.0,plus,coast,0
6.0,49.41,1.0,plus,coast,1
44.0,91.17,2.0,plus,south,0
19.0,26.74,1.0,premium,south,0
